market,month,year,quantity,priceMin,priceMax,priceMod
CHENNAI,January,2004,103400,798,1019,910
CHENNAI,January,2005,120500,430,638,533
CHENNAI,January,2006,111900,428,621,524
CHENNAI,January,2007,84800,900,1370,1129
CHENNAI,January,2008,127400,588,1000,797
CHENNAI,January,2009,111320,1428,2028,1762
CHENNAI,January,2010,110000,1639,2259,1980
CHENNAI,January,2011,102000,3583,4583,4083
CHENNAI,January,2012,126000,771,1013,892
CHENNAI,January,2013,116700,1786,2132,1964
CHENNAI,January,2014,120200,1371,1583,1477
CHENNAI,January,2015,112500,1983,2300,2142
CHENNAI,January,2016,116700,1927,2245,2086
CHENNAI,January,2017,125700,1130,1435,1278
CHENNAI,January,2018,107200,3918,4273,4095
CHENNAI,January,2019,90100,1156,1369,1263
CHENNAI,January,2020,142700,4380,5480,4936
CHENNAI,February,2004,87800,776,969,873
CHENNAI,February,2005,113700,402,592,498
CHENNAI,February,2006,103600,353,501,427
CHENNAI,February,2007,88300,1029,1424,1221
CHENNAI,February,2008,136500,404,722,581
CHENNAI,February,2009,111200,1122,1578,1352
CHENNAI,February,2010,112700,1368,1864,1619
CHENNAI,February,2011,128500,1396,1778,1589
CHENNAI,February,2012,125700,767,1000,883
CHENNAI,February,2013,130400,1846,2213,2033
CHENNAI,February,2014,125200,1188,1413,1300
CHENNAI,February,2015,128500,2000,2475,2242
CHENNAI,February,2016,131400,1529,1963,1763
CHENNAI,February,2017,140600,950,1182,1050
CHENNAI,February,2018,114600,2248,2495,2371
CHENNAI,February,2019,96400,847,1071,959
CHENNAI,February,2020,79100,2643,3143,2950
CHENNAI,March,2004,102180,506,656,580
CHENNAI,March,2005,96300,384,520,450
CHENNAI,March,2006,110600,339,478,413
CHENNAI,March,2007,113900,732,995,868
CHENNAI,March,2008,127400,447,688,585
CHENNAI,March,2009,113400,961,1270,1115
CHENNAI,March,2010,122300,958,1300,1133
CHENNAI,March,2011,146300,764,996,880
CHENNAI,March,2012,127200,708,908,808
CHENNAI,March,2013,121900,1355,1682,1518
CHENNAI,March,2014,129600,1180,1396,1288
CHENNAI,March,2015,126500,1933,2271,2113
CHENNAI,March,2016,119700,1167,1492,1333
CHENNAI,March,2017,150400,996,1200,1096
CHENNAI,March,2018,80500,1325,1625,1481
CHENNAI,March,2019,115300,881,1081,979
CHENNAI,March,2020,80900,1933,2267,2100
CHENNAI,April,2004,83300,448,599,527
CHENNAI,April,2005,94300,402,536,472
CHENNAI,April,2006,99900,305,500,404
CHENNAI,April,2007,88700,618,808,715
CHENNAI,April,2008,111200,443,738,598
CHENNAI,April,2009,88100,750,1045,903
CHENNAI,April,2010,114300,704,974,841
CHENNAI,April,2011,100800,837,1163,1003
CHENNAI,April,2012,111600,755,914,834
CHENNAI,April,2013,118900,1275,1550,1410
CHENNAI,April,2014,105900,1164,1468,1320
CHENNAI,April,2015,116400,1695,2068,1882
CHENNAI,April,2016,109300,1195,1471,1343
CHENNAI,April,2017,108400,1071,1314,1195
CHENNAI,April,2018,114400,1065,1280,1173
CHENNAI,April,2019,103500,1095,1326,1211
CHENNAI,May,2004,84850,462,596,529
CHENNAI,May,2005,106670,406,575,489
CHENNAI,May,2006,109600,304,456,384
CHENNAI,May,2007,109200,624,795,710
CHENNAI,May,2008,118600,386,632,530
