market,month,year,quantity,priceMin,priceMax,priceMod,date
CHENNAI,January,2004,103400,798,1019,910,01-01-04
CHENNAI,February,2004,87800,776,969,873,01-02-04
CHENNAI,March,2004,102180,506,656,580,01-03-04
CHENNAI,April,2004,83300,448,599,527,01-04-04
CHENNAI,May,2004,84850,462,596,529,01-05-04
CHENNAI,June,2004,97100,480,619,555,01-06-04
CHENNAI,July,2004,95200,502,627,566,01-07-04
CHENNAI,August,2004,100600,527,711,618,01-08-04
CHENNAI,September,2004,98200,411,633,529,01-09-04
CHENNAI,October,2004,111200,429,608,522,01-10-04
CHENNAI,November,2004,110300,378,655,521,01-11-04
CHENNAI,December,2004,130700,386,603,500,01-12-04
CHENNAI,January,2005,120500,430,638,533,01-01-05
CHENNAI,February,2005,113700,402,592,498,01-02-05
CHENNAI,March,2005,96300,384,520,450,01-03-05
CHENNAI,April,2005,94300,402,536,472,01-04-05
CHENNAI,May,2005,106670,406,575,489,01-05-05
CHENNAI,June,2005,97500,429,583,511,01-06-05
CHENNAI,July,2005,96500,510,687,599,01-07-05
CHENNAI,August,2005,88600,675,902,787,01-08-05
CHENNAI,September,2005,106100,761,1202,963,01-09-05
CHENNAI,October,2005,94500,893,1491,1191,01-10-05
CHENNAI,November,2005,96400,848,1552,1187,01-11-05
CHENNAI,December,2005,105760,583,995,811,01-12-05
CHENNAI,January,2006,111900,428,621,524,01-01-06
CHENNAI,February,2006,103600,353,501,427,01-02-06
CHENNAI,March,2006,110600,339,478,413,01-03-06
CHENNAI,April,2006,99900,305,500,404,01-04-06
CHENNAI,May,2006,109600,304,456,384,01-05-06
CHENNAI,June,2006,99600,395,538,467,01-06-06
CHENNAI,July,2006,102100,418,589,505,01-07-06
CHENNAI,August,2006,107600,384,583,487,01-08-06
CHENNAI,September,2006,127300,402,610,502,01-09-06
CHENNAI,October,2006,107500,415,663,537,01-10-06
CHENNAI,November,2006,119000,471,793,638,01-11-06
CHENNAI,December,2006,105500,603,1025,825,01-12-06
CHENNAI,January,2007,84800,900,1370,1129,01-01-07
CHENNAI,February,2007,88300,1029,1424,1221,01-02-07
CHENNAI,March,2007,113900,732,995,868,01-03-07
CHENNAI,April,2007,88700,618,808,715,01-04-07
CHENNAI,May,2007,109200,624,795,710,01-05-07
CHENNAI,June,2007,106400,888,1105,999,01-06-07
CHENNAI,July,2007,101800,917,1175,1041,01-07-07
CHENNAI,August,2007,83600,1060,1457,1262,01-08-07
CHENNAI,September,2007,116100,877,1468,1198,01-09-07
CHENNAI,October,2007,119900,975,1858,1425,01-10-07
CHENNAI,November,2007,104300,860,1525,1220,01-11-07
CHENNAI,December,2007,128900,618,1172,910,01-12-07
CHENNAI,January,2008,127400,588,1000,797,01-01-08
CHENNAI,February,2008,136500,404,722,581,01-02-08
CHENNAI,March,2008,127400,447,688,585,01-03-08
