market,month,year,quantity,priceMin,priceMax,priceMod,date
CHENNAI,January,2004,103400,798,1019,910,2004-01-01
CHENNAI,February,2004,87800,776,969,873,2004-02-01
CHENNAI,March,2004,102180,506,656,580,2004-03-01
CHENNAI,April,2004,83300,448,599,527,2004-04-01
CHENNAI,May,2004,84850,462,596,529,2004-05-01
CHENNAI,June,2004,97100,480,619,555,2004-06-01
CHENNAI,July,2004,95200,502,627,566,2004-07-01
CHENNAI,August,2004,100600,527,711,618,2004-08-01
CHENNAI,September,2004,98200,411,633,529,2004-09-01
CHENNAI,October,2004,111200,429,608,522,2004-10-01
CHENNAI,November,2004,110300,378,655,521,2004-11-01
CHENNAI,December,2004,130700,386,603,500,2004-12-01
CHENNAI,January,2005,120500,430,638,533,2005-01-01
CHENNAI,February,2005,113700,402,592,498,2005-02-01
CHENNAI,March,2005,96300,384,520,450,2005-03-01
CHENNAI,April,2005,94300,402,536,472,2005-04-01
CHENNAI,May,2005,106670,406,575,489,2005-05-01
CHENNAI,June,2005,97500,429,583,511,2005-06-01
CHENNAI,July,2005,96500,510,687,599,2005-07-01
CHENNAI,August,2005,88600,675,902,787,2005-08-01
CHENNAI,September,2005,106100,761,1202,963,2005-09-01
CHENNAI,October,2005,94500,893,1491,1191,2005-10-01
CHENNAI,November,2005,96400,848,1552,1187,2005-11-01
CHENNAI,December,2005,105760,583,995,811,2005-12-01
CHENNAI,January,2006,111900,428,621,524,2006-01-01
CHENNAI,February,2006,103600,353,501,427,2006-02-01
CHENNAI,March,2006,110600,339,478,413,2006-03-01
CHENNAI,April,2006,99900,305,500,404,2006-04-01
CHENNAI,May,2006,109600,304,456,384,2006-05-01
CHENNAI,June,2006,99600,395,538,467,2006-06-01
CHENNAI,July,2006,102100,418,589,505,2006-07-01
CHENNAI,August,2006,107600,384,583,487,2006-08-01
CHENNAI,September,2006,127300,402,610,502,2006-09-01
CHENNAI,October,2006,107500,415,663,537,2006-10-01
CHENNAI,November,2006,119000,471,793,638,2006-11-01
CHENNAI,December,2006,105500,603,1025,825,2006-12-01
CHENNAI,January,2007,84800,900,1370,1129,2007-01-01
CHENNAI,February,2007,88300,1029,1424,1221,2007-02-01
CHENNAI,March,2007,113900,732,995,868,2007-03-01
CHENNAI,April,2007,88700,618,808,715,2007-04-01
CHENNAI,May,2007,109200,624,795,710,2007-05-01
CHENNAI,June,2007,106400,888,1105,999,2007-06-01
CHENNAI,July,2007,101800,917,1175,1041,2007-07-01
CHENNAI,August,2007,83600,1060,1457,1262,2007-08-01
CHENNAI,September,2007,116100,877,1468,1198,2007-09-01
CHENNAI,October,2007,119900,975,1858,1425,2007-10-01
CHENNAI,November,2007,104300,860,1525,1220,2007-11-01
CHENNAI,December,2007,128900,618,1172,910,2007-12-01
CHENNAI,January,2008,127400,588,1000,797,2008-01-01
CHENNAI,February,2008,136500,404,722,581,2008-02-01
CHENNAI,March,2008,127400,447,688,585,2008-03-01
CHENNAI,April,2008,111200,443,738,598,2008-04-01
CHENNAI,May,2008,118600,386,632,530,2008-05-01
CHENNAI,June,2008,114000,444,710,586,2008-06-01
CHENNAI,July,2008,125700,685,984,840,2008-07-01
CHENNAI,August,2008,115100,754,1206,985,2008-08-01
CHENNAI,September,2008,126500,658,1092,875,2008-09-01
CHENNAI,October,2008,108000,668,1045,868,2008-10-01
CHENNAI,November,2008,105300,988,1642,1319,2008-11-01
CHENNAI,December,2008,116000,963,1646,1317,2008-12-01
CHENNAI,January,2009,111320,1428,2028,1762,2009-01-01
CHENNAI,February,2009,111200,1122,1578,1352,2009-02-01
CHENNAI,March,2009,113400,961,1270,1115,2009-03-01
CHENNAI,April,2009,88100,750,1045,903,2009-04-01
CHENNAI,May,2009,103200,641,850,745,2009-05-01
CHENNAI,June,2009,111100,846,1208,1038,2009-06-01
CHENNAI,July,2009,119000,859,1096,978,2009-07-01
CHENNAI,August,2009,105900,825,1092,967,2009-08-01
CHENNAI,September,2009,110200,825,1071,950,2009-09-01
CHENNAI,October,2009,108500,1420,1880,1652,2009-10-01
CHENNAI,November,2009,87900,1695,2332,2045,2009-11-01
CHENNAI,December,2009,112400,2017,2904,2506,2009-12-01
CHENNAI,January,2010,110000,1639,2259,1980,2010-01-01
CHENNAI,February,2010,112700,1368,1864,1619,2010-02-01
CHENNAI,March,2010,122300,958,1300,1133,2010-03-01
CHENNAI,April,2010,114300,704,974,841,2010-04-01
CHENNAI,May,2010,118700,721,979,854,2010-05-01
CHENNAI,June,2010,136000,804,1158,992,2010-06-01
CHENNAI,July,2010,129700,822,1196,1007,2010-07-01
CHENNAI,August,2010,128200,973,1273,1146,2010-08-01
CHENNAI,September,2010,109900,1296,1646,1479,2010-09-01
CHENNAI,October,2010,109000,1783,2204,2006,2010-10-01
CHENNAI,November,2010,104900,2396,2971,2688,2010-11-01
CHENNAI,December,2010,109000,3164,4124,3646,2010-12-01
CHENNAI,January,2011,102000,3583,4583,4083,2011-01-01
CHENNAI,February,2011,128500,1396,1778,1589,2011-02-01
CHENNAI,March,2011,146300,764,996,880,2011-03-01
CHENNAI,April,2011,100800,837,1163,1003,2011-04-01
CHENNAI,May,2011,125500,791,1087,939,2011-05-01
CHENNAI,June,2011,114800,942,1192,1067,2011-06-01
CHENNAI,July,2011,127100,1046,1308,1179,2011-07-01
CHENNAI,August,2011,95150,1283,1483,1383,2011-08-01
CHENNAI,September,2011,117800,1208,1579,1394,2011-09-01
CHENNAI,October,2011,117650,1297,1596,1470,2011-10-01
CHENNAI,November,2011,108710,1189,1633,1425,2011-11-01
CHENNAI,December,2011,130200,1254,1496,1367,2011-12-01
CHENNAI,January,2012,126000,771,1013,892,2012-01-01
CHENNAI,February,2012,125700,767,1000,883,2012-02-01
CHENNAI,March,2012,127200,708,908,808,2012-03-01
CHENNAI,April,2012,111600,755,914,834,2012-04-01
CHENNAI,May,2012,140800,685,865,775,2012-05-01
CHENNAI,June,2012,122000,785,985,887,2012-06-01
CHENNAI,July,2012,124900,935,1142,1038,2012-07-01
CHENNAI,August,2012,105000,1017,1270,1143,2012-08-01
CHENNAI,September,2012,110200,1013,1229,1123,2012-09-01
CHENNAI,October,2012,108400,1171,1367,1269,2012-10-01
CHENNAI,November,2012,106500,1800,2050,1921,2012-11-01
CHENNAI,December,2012,63900,1746,2073,1910,2012-12-01
CHENNAI,January,2013,116700,1786,2132,1964,2013-01-01
CHENNAI,February,2013,130400,1846,2213,2033,2013-02-01
CHENNAI,March,2013,121900,1355,1682,1518,2013-03-01
CHENNAI,April,2013,118900,1275,1550,1410,2013-04-01
CHENNAI,May,2013,143600,1327,1535,1431,2013-05-01
CHENNAI,June,2013,117600,1742,1967,1850,2013-06-01
CHENNAI,July,2013,119600,2611,2907,2756,2013-07-01
CHENNAI,August,2013,105400,4270,4791,4530,2013-08-01
CHENNAI,September,2013,109200,4939,5483,5217,2013-09-01
